,repetitions,num_vms,direction,interface,size,vnf,system,rate,repetition,pps
0,3,1,rx,vpp,64,nat,uk,100,0,0.0
1,3,1,rx,vpp,64,nat,uk,100,0,0.0
2,3,1,rx,vpp,64,nat,uk,100,0,1004.65116279
3,3,1,rx,vpp,64,nat,uk,100,0,1007.0
4,3,1,rx,vpp,64,nat,uk,100,0,1006.00600601
5,3,1,rx,vpp,64,nat,uk,100,0,1008.0
6,3,1,rx,vpp,64,nat,uk,100,0,1006.0
7,3,1,rx,vpp,64,nat,uk,100,0,1006.0
8,3,1,rx,vpp,64,nat,uk,100,0,1006.0
9,3,1,rx,vpp,64,nat,uk,100,0,1007.00700701
10,3,1,rx,vpp,64,nat,uk,100,0,1004.0
11,3,1,rx,vpp,64,nat,uk,100,0,1006.0
12,3,1,rx,vpp,64,nat,uk,100,0,1007.00700701
13,3,1,rx,vpp,64,nat,uk,100,0,1007.0
14,3,1,rx,vpp,64,nat,uk,100,0,1006.0
15,3,1,rx,vpp,64,nat,uk,100,0,1006.0
16,3,1,rx,vpp,64,nat,uk,100,0,1006.0
17,3,1,rx,vpp,64,nat,uk,100,0,1006.0
18,3,1,rx,vpp,64,nat,uk,100,0,1007.00700701
19,3,1,rx,vpp,64,nat,uk,100,0,1008.00800801
20,3,1,rx,vpp,64,nat,uk,100,0,1005.00500501
21,3,1,rx,vpp,64,nat,uk,100,0,1006.0
22,3,1,rx,vpp,64,nat,uk,100,0,1007.00700701
23,3,1,rx,vpp,64,nat,uk,100,0,1007.0
24,3,1,rx,vpp,64,nat,uk,100,0,1006.0
25,3,1,rx,vpp,64,nat,uk,100,0,1007.00700701
26,3,1,rx,vpp,64,nat,uk,100,0,1007.0
27,3,1,rx,vpp,64,nat,uk,100,0,1005.0
28,3,1,rx,vpp,64,nat,uk,100,0,1007.00700701
29,3,1,rx,vpp,64,nat,uk,100,0,1007.0
30,3,1,rx,vpp,64,nat,uk,100,0,1006.0
31,3,1,rx,vpp,64,nat,uk,100,0,1004.0
32,3,1,rx,vpp,64,nat,uk,100,0,1006.0
33,3,1,rx,vpp,64,nat,uk,100,0,1006.0
34,3,1,rx,vpp,64,nat,uk,100,0,1006.0
35,3,1,rx,vpp,64,nat,uk,100,0,1007.00700701
36,3,1,rx,vpp,64,nat,uk,100,0,1007.00700701
37,3,1,rx,vpp,64,nat,uk,100,0,1008.0
38,3,1,rx,vpp,64,nat,uk,100,0,1006.00600601
39,3,1,rx,vpp,64,nat,uk,100,0,1007.0
40,3,1,rx,vpp,64,nat,uk,100,0,1005.0
41,3,1,rx,vpp,64,nat,uk,100,0,1005.00500501
42,3,1,rx,vpp,64,nat,uk,100,0,1007.0
43,3,1,rx,vpp,64,nat,uk,100,0,1006.0
44,3,1,rx,vpp,64,nat,uk,100,0,1006.0
45,3,1,rx,vpp,64,nat,uk,100,0,1007.00700701
46,3,1,rx,vpp,64,nat,uk,100,0,1007.0
47,3,1,rx,vpp,64,nat,uk,100,0,1007.00700701
48,3,1,rx,vpp,64,nat,uk,100,0,1007.00700701
49,3,1,rx,vpp,64,nat,uk,100,0,1007.0
50,3,1,rx,vpp,64,nat,uk,100,0,1006.0
51,3,1,rx,vpp,64,nat,uk,100,0,1004.0
52,3,1,rx,vpp,64,nat,uk,100,0,1006.0
53,3,1,rx,vpp,64,nat,uk,100,0,1006.0
54,3,1,rx,vpp,64,nat,uk,100,0,1006.0
55,3,1,rx,vpp,64,nat,uk,100,0,1007.00700701
56,3,1,rx,vpp,64,nat,uk,100,0,1007.0
57,3,1,rx,vpp,64,nat,uk,100,0,1006.0
58,3,1,rx,vpp,64,nat,uk,100,0,1007.00700701
59,3,1,rx,vpp,64,nat,uk,100,0,1007.0
60,3,1,rx,vpp,64,nat,uk,100,0,1006.0
61,3,1,rx,vpp,64,nat,uk,100,0,1005.0
62,3,1,rx,vpp,64,nat,uk,100,0,1006.00600601
63,3,1,rx,vpp,64,nat,uk,100,0,1008.00800801
64,3,1,rx,vpp,64,nat,uk,100,0,1007.00700701
65,3,1,rx,vpp,64,nat,uk,100,0,1007.0
66,3,1,rx,vpp,64,nat,uk,100,0,1007.00700701
67,3,1,rx,vpp,64,nat,uk,100,0,1007.0
68,3,1,rx,vpp,64,nat,uk,100,0,1006.0
69,3,1,rx,vpp,64,nat,uk,100,0,1005.0
70,3,1,rx,vpp,64,nat,uk,100,0,1007.0
71,3,1,rx,vpp,64,nat,uk,100,0,1005.0
72,3,1,rx,vpp,64,nat,uk,100,0,1006.0
73,3,1,rx,vpp,64,nat,uk,100,0,1016.77852349
74,3,1,rx,vpp,64,nat,uk,100,0,0.0
75,3,1,rx,vpp,64,nat,uk,100,0,0.0
76,3,1,rx,vpp,64,nat,uk,100,0,0.0
77,3,1,rx,vpp,64,nat,uk,100,0,0.0
78,3,1,rx,vpp,64,nat,uk,100,0,0.0
79,3,1,rx,vpp,64,nat,uk,100,0,0.0
80,3,1,rx,vpp,64,nat,uk,100,0,0.0
